"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"Central Lutheran Church","333 South 12th Street","612-870-4416","Monday and Thursday from 10 am-2 pm; Tuesday and Wednesday 10 am-12 pm.","New building opens Fall 2018; call to verify.","","","","cc","1","","333 S 12th St, Minneapolis, MN 55404, USA","44.9694409","-93.2706133","ChIJj8p_1rwys1IRXprnO0SZIMc"
"Cornerstone Ministry (Park Ave. United Methodist Church)","3400 Park Avenue South","612-825-6863","Tuesday 3:30-5 pm; Wednesday 4:30-6:00 pm","Clothing is reasonably priced. Household items are also sold. Enter from parking lot, go downstairs.","","","","cc","2","","3400 Park Ave, Minneapolis, MN 55407, USA","44.9409817","-93.2656708","ChIJ9T48TOQn9ocRD8SuBp56a00"
"The Clothes Closet/CSJ Ministry Center","2200 Nicollet Avenue South ","612-870-1815","Wednesdays and Thursdays 11 am-2 pm.","Clothing, linens, towels and household items are available. (garage entrance at back)","","","","cc","3","","2200 Nicollet Ave, Minneapolis, MN 55404, USA","44.9605907","-93.2783255","ChIJm3CEyLcys1IRF2zC2JiuIoM"
"Division of Indian Work","1001 East Lake Street","612-722-8722","Monday, Tuesday and Wednesday 12-3 pm.","Primarily for Native Americans who are enrolled with a tribe. Clothes closet open during food shelf hours.","","","","cc","4","","1001 E Lake St, Minneapolis, MN 55407, USA","44.9481609","-93.259227","ChIJU-637v0n9ocRl9kqpqO8Seg"
"Marie Sandvik Center","1112 East Franklin Avenue","Contact: 612-870-9617","Hours:Tuesday 7 pm worship service followed by women's clothing and meal; Thursday 12 pm quilt and baby layette signup; Thursday 1 pm worship service followed by women's and children's clothing and meal (child care provided during service); Friday 7 pm worship service followed by men's clothing and meal; Sunday 6 pm service followed by men's clothing and meal.","","","","","cc","5","","1112 E Franklin Ave, Minneapolis, MN 55404, USA","44.9630307","-93.2577355","ChIJIbRaJ1gts1IRaRh37zSEu0U"
"Sabathani Community Center","310 East 38th Street, Room 221","612-821-2396 (food & clothing); 612-821-2300 (reception)","Monday-Thursday from 9-11:30 am and 1-3 pm. (Arrive before 2:45 pm.) If you are a first time guest, please arrive half hour before closing. First come, first served.","","","","","cc","6","","310 E 38th St #221, Minneapolis, MN 55409, USA","44.9346758","-93.2721155","Ei4yMjEsIDMxMCBFIDM4dGggU3QsIE1pbm5lYXBvbGlzLCBNTiA1NTQwOSwgVVNBIh8aHQoWChQKEglBsJff6Sf2hxFTGtjs769lexIDMjIx"
"Salvation Army","Parkview: 2024 Lyndale Avenue North Noble: 10011 Noble Parkway","612-522-6581","Monday-Friday 8 am-noon and 1-4 pm.","Call for an appointment Once you have talked to a caseworker, you may receive a voucher to a Salvation Army thrift store. You need to provide a photo ID and piece of current mail at the time of the appointment.","","","","cc","7","","2024 Lyndale Ave N, Minneapolis, MN 55411, USA","44.9999681","-93.2875365","ChIJrb9LNkMys1IRstVVtAwvJzI"
"Sharing and Caring Hands (Mary Jo's)","525 North 7th Street","612-338-4640","Monday-Thursday 10-11:30 am and 1:30-2:30 pm.","","","","","cc","8","","525 N 7th St, Minneapolis, MN 55405, USA","44.9832011","-93.2826462","ChIJP2f4J_Mys1IRsKiNPXD1_OY"
"Brian Coyle Community Center","420 15th Avenue South","612-338-5282","Monday 12-6 pm;Tuesday 12-3 pm; Wednesday and Friday 12-4 pm.","Service Area: For those persons east of I-35W, south of Hennepin Ave., west of the river and north of I-94 (ZIP 55454).","","","","fs","9","","420 15th Ave S, Minneapolis, MN 55454, USA","44.9707032","-93.2506039","ChIJH8xJLl0ts1IR-wFIyZQruE4"
"Center for Asians and Pacific Islanders","5930 Brooklyn Blvd., Brooklyn Center","612-721-0122, Option 1","Monday 1-4 pm;Tuesday,Wednesday and Thursday 9 am-12 pm and 1-4 pm.","Service Area: Primarily persons of Asian descent in Hennepin Co.","","","","fs","10","","5930 Brooklyn Blvd, Minneapolis, MN 55429, USA","45.0633527","-93.3248943","ChIJ0cbOjx0xs1IR2YBEPp2-LZ0"
"Community Emergency Service","1900 11th Avenue South","612-870-1125","Monday through Thursday 1-4 pm (doors open at 10:30 am). CES listens well and provides resources to lift the spirit as we are able. Friday produce giveaway is from 1-3 pm.","Ideally, participants will provide ID and proof of address. One visit per month.","","","","fs","11","","1900 11th Ave S, Minneapolis, MN 55404, USA","44.9637369","-93.2585256","ChIJcbksEVgts1IRnKvOUCxFeA4"
"Division of Indian Work","1001 East Lake Street","612-722-8722","","Service Area: Primarily for Native Americans who are enrolled with a tribe. Produce available first and third Tuesday of the month.","","","","fs","12","","1001 E Lake St, Minneapolis, MN 55407, USA","44.9481609","-93.259227","ChIJU-637v0n9ocRl9kqpqO8Seg"
"Fare for All Program","","763-450-3880","","The Fare for All program is not a food shelf. It is a monthly food purchase program that allows participants to receive a package of food including fruits, vegetables and/or meat, for $10-$25. Some locations add a small transportation fee. Call for neighborhood locations and more info, or visit www.fareforall.org.","","","","fs","13","","Minneapolis, MN, USA","44.977753","-93.2650108","ChIJvbt3k5Azs1IRB-56L4TJn5M"
"Groveland Emergency Food Shelf/Groveland Food for Youth","1900 Nicollet Avenue South (Enter on Groveland Ave.)","612-871-0277","(Adults) Monday-Thursday 9:30 am-12:30 pm; Friday 10 am-1 pm for those who live in service area. Bring ID if able. (Youth) Homeless youth ages 23 and under with no residency requirement: Tuesday and Thursday 4-7 pm. Service Area: For those adults who live in downtown Minneapolis and near-south of downtown area.","Delivery for adults is available for shut-ins. Stipend program for youth ages 21 & younger is available in exchange for working 3 hours. Call for more information.","","","","fs","14","","1900 Nicollet Ave, Minneapolis, MN 55403, USA","44.9640447","-93.2785868","ChIJd9ngQbgys1IRs59CHg0jNQU"
"Joyce Uptown Food Shelf, Inc.","3041 Fremont Avenue South","612-825-4431","Monday-Friday 1 pm-3:45 pm; and Thursday 5-6:45 pm.","Service Area: For persons who live south of 25th St., north of 62nd St., west of I-35W, and east of France Ave.","Will provide three days of food per person in each household one time a month.","","","fs","15","","3041 Fremont Ave S, Minneapolis, MN 55408, USA","44.9468461","-93.2956027","ChIJWUZByIMn9ocRL0Wt2TLWNzQ"
"Little Kitchen Food Shelf","1500 6th Street NE","612-788-2444","Walk-in Wednesday and Friday from 10 am-noon; Tuesday and Thursday 6-7:30 pm. Appointments are possible.","Intake: Pre-registration for new clients Monday-Friday 9-11 am.","No ID required and no geographic restrictions. Can use the food shelf once every four weeks. Pet food also available.","","","fs","16","","1500 6th St NE, Minneapolis, MN 55413, USA","45.0039944","-93.259283","ChIJFWA-SYkts1IRsVsDgznePp0"
